stop_lat,stop_lon
-22.91066,-43.18825
-22.90266,-43.17553
-22.89948,-43.17708
-22.90463,-43.17543
-22.9132,-43.17733
-22.91239,-43.17652
-22.90873,-43.18033
-22.9088,-43.18051
-22.90957,-43.17046
-22.90824,-43.17093
-22.904988,-43.192317
-22.905313,-43.174898
-22.908874,-43.170562
-22.908913,-43.170618
-22.9179,-43.18823
-22.905052,-43.189782
-22.90507,-43.17617
-22.912738,-43.167063
-22.908037,-43.170773
-22.902393,-43.182091
-22.90198,-43.18083
-22.910534,-43.172557
-22.9044,-43.18332
-22.905593,-43.182786
-22.90864,-43.18772
-22.90664,-43.18006
-22.90649,-43.17764
-22.90843,-43.1869
-22.90913,-43.17964
-22.909,-43.17926
-22.909372,-43.180251
-22.90952,-43.17067
-22.902674,-43.18239
-22.901944,-43.182203
-22.901438,-43.18065
-22.901524,-43.180918
-22.908598,-43.168241
-22.903332,-43.184461
-22.903617,-43.185315
-22.904806,-43.192141
-22.906471,-43.17582
-22.91707,-43.19543
-22.91907,-43.19573
-22.92023,-43.19661
-22.92414,-43.19849
-22.92357,-43.1979
-22.92227,-43.19726
-22.9205,-43.19591
-22.91618,-43.19452
-22.9166,-43.19521
-22.922234,-43.197393
-22.92059,-43.21275
-22.92494,-43.20832
-22.92616,-43.2049
-22.92831,-43.20358
-22.92555,-43.20513
-22.92342,-43.20786
-22.92177,-43.20882
-22.91992,-43.20858
-22.91786,-43.20922
-22.93359,-43.20924
-22.92497,-43.20299
-22.914984,-43.195936
-22.923657,-43.206368
-22.925297,-43.205808
-22.91977,-43.194399
-22.929983,-43.201903
-22.91747,-43.21103
-22.91423,-43.19633
-22.9239,-43.2045
-22.91902,-43.21038
-22.92501,-43.20483
-22.92528,-43.20125
-22.92513,-43.19961
-22.926,-43.20846
-22.92261,-43.21113
-22.92371,-43.21231
-22.93499,-43.20986
-22.91943,-43.20979
-22.91797,-43.20987
-22.91777,-43.21018
-22.92396,-43.20983
-22.92744,-43.20962
-22.92968,-43.20926
-22.93156,-43.20922
-22.93145,-43.20881
-22.92961,-43.20896
-22.92773,-43.2093
-22.92582,-43.20942
-22.924,-43.20952
-22.92268,-43.21401
